"ID","NUMBER","ENGLISH","TBL_ID","CONCEPTICON_ID","CONCEPTICON_GLOSS","Coverage"
"1","1","above",731,1741,"ABOVE",0.46
"2","2","all",962,98,"ALL",0.47
"3",3,"the ant",365,587,"ANT",1
"4","4","the armpit",92,1886,"ARMPIT",0.49
"5","5","bad",1053,1292,"BAD",0.61
"6",6,"the bamboo",389,1927,"BAMBOO",0.98
"7","7","the barley (tibetan or highland)",411,932,"BARLEY",0.25
"8",8,"to be alive",1087,1422,"BE ALIVE",0.96
"9",9,"the belly",96,1251,"BELLY",0.98
"10","10","below, under",732,1485,"BELOW OR UNDER",0.45
"11",11,"big",964,1202,"BIG",1
"12",12,"the bird",326,937,"BIRD",1
"13",13,"to bite",1753,1403,"BITE",0.98
"14",14,"black",1005,163,"BLACK",1
"15",15,"the blood",129,946,"BLOOD",1
"16","16","to blow (of wind)",1738,175,"BLOW (OF WIND)",0.56
"17","17","the body hair (hair or fur)",266,189,"HAIR (BODY)",0.52
"18",18,"the bone",133,1394,"BONE",0.98
"19",19,"the branch",374,1531,"BRANCH",0.9
"20",20,"the breast (female)",94,1402,"BREAST",0.98
"21",21,"to burn [intransitive]",1269,1428,"BURNING",0.96
"22",22,"to buy",1516,1869,"BUY",1
"23",23,"to chew",1424,321,"CHEW",0.94
"24","24","the child (young human)",169,1304,"CHILD (YOUNG HUMAN)",0.47
"25",25,"the cloud",7,1489,"CLOUD",1
"26",26,"cold (of temperature)",1063,1287,"COLD",1
"27",27,"to come",1491,1446,"COME",0.98
"28","28","correct (right)",1045,1725,"CORRECT (RIGHT)",0.4
"29",29,"to count",1640,1420,"COUNT",0.98
"30",30,"to cry (weep)",1485,1839,"CRY",0.98
"31","31","dark",1013,706,"DARK",0.48
"32","32","the daughter",222,1357,"DAUGHTER",0.53
"33",33,"the dew",15,1977,"DEW",0.92
"34",34,"to die",1651,1494,"DIE",1
"35",35,"to dig",1698,1418,"DIG",0.96
"36",36,"dirty",1086,1230,"DIRTY",0.92
"37",37,"the dog",289,2009,"DOG",1
"38",38,"the dream",699,2374,"DREAM",0.98
"39",39,"to drink",1370,1401,"DRINK",0.98
"40",40,"dry",1028,1398,"DRY",0.98
"41",41,"the dust",45,2,"DUST",0.92
"42",42,"the ear",81,1247,"EAR",0.96
"43",43,"early",1018,672,"EARLY",0.88
"44",44,"the earth (soil)",40,1228,"EARTH (SOIL)",0.94
"45","45","the earthworm",363,2350,"EARTHWORM",0.49
"46",46,"to eat",1198,1336,"EAT",1
"47",47,"the egg",450,744,"EGG",1
"48",48,"eight",804,1705,"EIGHT",0.88
"49",49,"the eye",79,1248,"EYE",0.98
"50",50,"far",974,1406,"FAR",1
"51","51","the father",218,1217,"FATHER",0.59
"52",52,"the feather",299,1201,"FEATHER",0.9
"53",53,"to fight",1234,1423,"FIGHT",0.96
"54",54,"the fire",18,221,"FIRE",1
"55","55","firewood",534,10,"FIREWOOD",0.46
"56",56,"the fish",351,227,"FISH",1
"57",57,"five",801,493,"FIVE",0.94
"58",58,"the flea",355,232,"FLEA",0.88
"59","59","to float",1553,1574,"FLOAT",0.43
"60","60","to flow",1502,2003,"FLOW",0.43
"61",61,"the flower",377,239,"FLOWER",1
"62",62,"to fly (move through air)",1318,1441,"FLY (MOVE THROUGH AIR)",1
"63","63","the fog",16,249,"FOG",0.56
"64",64,"the foot",103,1301,"FOOT",1
"65",65,"the forest",50,420,"FOREST",0.96
"66",66,"to forget",1704,1523,"FORGET",0.96
"67",67,"four",800,1500,"FOUR",0.94
"68","68","the fox",325,1312,"FOX",0.32
"69",69,"the frog",349,503,"FROG",0.98
"70",70,"the front (front side)",712,2194,"FRONT (PART)",0.92
"71","71","the frost",14,2034,"FROST",0.48
"72",72,"the fruit",378,1507,"FRUIT",1
"73",73,"full",984,1429,"FULL",0.92
"74",74,"to give",1345,1447,"GIVE",0.98
"75",75,"the goat",276,1502,"GOAT",0.92
"76",76,"good",1052,1035,"GOOD",1
"77",77,"the grass",436,606,"GRASS",0.98
"78",78,"green",1009,1425,"GREEN",0.96
"79",79,"the hail",13,609,"HAIL",0.9
"80",80,"the hair (of the head)",75,1040,"HAIR",1
"81",81,"the hand",107,1277,"HAND",0.98
"82",82,"hard",1034,1884,"HARD",0.98
"83",83,"he or she [third person singular]",934,262,"HE OR SHE OR IT",0.94
"84",84,"the head",74,1256,"HEAD",1
"85",85,"to hear",1682,1408,"HEAR",0.98
"86",86,"the heart",144,1223,"HEART",1
"87",87,"heavy",1014,1210,"HEAVY",0.96
"88","88","here",944,136,"HERE",0.53
"89",89,"to hide (conceal)",1169,602,"HIDE (CONCEAL)",0.98
"90",90,"high / tall",968,1265,"HIGH",0.98
"91",91,"to hold",1709,1448,"HOLD",0.96
"92","92","the hoof",264,152,"HOOF",0.48
"93","93","horizontal",1001,2376,"HORIZONTAL",0.47
"94",94,"the horn (keratinized skin)",263,1393,"HORN (ANATOMY)",0.98
"95","95","the horse",268,615,"HORSE",0.45
"96",96,"hot",1062,1286,"HOT",1
"97",97,"the house",494,1252,"HOUSE",0.98
"98","98","hundred",824,1634,"HUNDRED",0.51
"99",99,"to hunt",1230,1435,"HUNT",0.98
"100","100","the husband",247,1200,"HUSBAND",0.49
"101",101,"I [first person singular]",928,1209,"I",0.98
"102","102","the ice",17,617,"ICE",0.52
"103",103,"inside",715,1606,"INSIDE",0.98
"104",104,"to kill",1602,1417,"KILL",1
"105","105","to knead",1594,274,"KNEAD",0.43
"106",106,"the knee",101,1371,"KNEE",0.98
"107","107","knife",549,1352,"KNIFE",0.43
"108","108","to know (something)",1798,1410,"KNOW (SOMETHING)",0.55
"109","109","the lake",31,624,"LAKE",0.57
"110",110,"late",1019,477,"LATE",0.94
"111",111,"to laugh",1735,1355,"LAUGH",1
"112",112,"the leaf",376,628,"LEAF",1
"113","113","to learn",1742,504,"LEARN",0.49
"114",114,"left",710,244,"LEFT",0.96
"115",115,"to lick",1674,319,"LICK",1
"116","116","to lie down",1661,215,"LIE DOWN",0.48
"117",117,"light (of weight)",1015,1052,"LIGHT (WEIGHT)",0.98
"118",118,"the lip (the lips)",85,478,"LIP",0.98
"119",119,"the liver",145,1224,"LIVER",1
"120",120,"long",972,1203,"LONG",1
"121",121,"the louse",356,1392,"LOUSE",1
"122",122,"the lung",143,688,"LUNG",0.98
"123",123,"the man (male human)",173,2106,"MALE PERSON",0.96
"124",124,"many",987,1198,"MANY",0.96
"125","125","to marry (a man marries a woman)",1578,2164,"MARRY (AS MAN)",0.42
"126",126,"the meat",443,634,"MEAT",1
"127",127,"middle",708,1093,"MIDDLE",0.92
"128",128,"the moon",4,1313,"MOON",0.98
"129",129,"morning",749,1339,"MORNING",0.96
"130","130","the mosquito",360,1509,"MOSQUITO",0.58
"131","131","the mother",219,1216,"MOTHER",0.64
"132",132,"the mountain",23,639,"MOUNTAIN",1
"133",133,"the mouse or rat",320,2139,"MUROID (MOUSE OR RAT)",1
"134",134,"the mouth",84,674,"MOUTH",0.98
"135",135,"the mud",46,640,"MUD",0.92
"136",136,"the nail (fingernail or claw)",113,2128,"CLAW OR NAIL",1
"137",137,"the name",687,1405,"NAME",1
"138",138,"narrow",977,1267,"NARROW",0.9
"139",139,"near",975,1942,"NEAR",0.98
"140",140,"the neck",89,1333,"NECK",1
"141",141,"the needle (for sewing)",578,1382,"NEEDLE (FOR SEWING)",0.96
"142",142,"new",1050,1231,"NEW",0.98
"143",143,"nine",805,1483,"NINE",0.88
"144","144","the nit",357,267,"NIT",0.33
"145","145","noon",750,12,"MIDDAY",0.49
"146",146,"the nose",80,1221,"NOSE",1
"147",147,"old (of person)",1058,2112,"OLD (AGED)",0.96
"148",148,"one",797,1493,"ONE",0.98
"149","149","the otter",317,15,"OTTER",0.35
"150",150,"outside",714,762,"OUTSIDE",0.96
"151",151,"the pig",284,1337,"PIG",0.98
"152","152","to plant (vegetals, rice)",1774,1486,"PLANT (SOMETHING)",0.43
"153",153,"to play",1703,1413,"PLAY",0.98
"154","154","to pull",1568,1455,"PULL",0.59
"155",155,"to push",1689,1452,"PUSH",0.96
"156",156,"the rain",10,658,"RAIN (PRECIPITATION)",0.98
"157","157","the rainbow",11,1733,"RAINBOW",0.49
"158",158,"red",1007,156,"RED",0.96
"159",159,"to reside (live)",1452,1099,"RESIDE",0.94
"160","160","the rice plant",439,2026,"RICE PLANT",0.39
"161",161,"right",711,1019,"RIGHT",1
"162","162","the river",30,666,"RIVER",0.55
"163",163,"the road",38,667,"ROAD",0.98
"164",164,"the root",375,670,"ROOT",1
"165",165,"the rope",619,1218,"ROPE",0.96
"166",166,"round",990,1395,"ROUND",0.94
"167","167","to run",1544,1519,"RUN",0.49
"168",168,"the salt",61,1274,"SALT",0.98
"169","169","salty",1076,1091,"SALTY",0.49
"170",170,"the sand",44,671,"SAND",0.94
"171",171,"to scratch",1530,1436,"SCRATCH",0.98
"172","172","the sea",32,1474,"SEA",0.46
"173",173,"to see",1471,1409,"SEE",0.98
"174",174,"the seed",405,714,"SEED",0.96
"175",175,"seven",803,1704,"SEVEN",0.88
"176",176,"sharp",1020,1396,"SHARP",0.96
"177","177","the sheep",275,1331,"SHEEP",0.49
"178",178,"to shoot (an arrow)",1611,1172,"SHOOT",0.98
"179",179,"short",973,1645,"SHORT",0.92
"180",180,"the shoulder",90,1482,"SHOULDER",0.98
"181","181","shy",1365,487,"SHY",0.43
"182","182","the sickle",624,341,"SICKLE",0.46
"183",183,"to sing",1184,1261,"SING",0.94
"184",184,"six",802,1703,"SIX",0.88
"185",185,"the skin",120,763,"SKIN",0.98
"186",186,"the sky",1,1732,"SKY",0.96
"187",187,"to sleep",1646,1585,"SLEEP",0.96
"188",188,"small",965,1246,"SMALL",1
"189",189,"to smell (perceive odor) [transitive]",1707,1586,"SMELL (PERCEIVE)",0.92
"190",190,"the smoke",19,778,"SMOKE (EXHAUST)",1
"191","191","smooth",1037,1234,"SMOOTH",0.56
"192",192,"the snake",347,730,"SNAKE",1
"193",193,"the snow",12,784,"SNOW",0.9
"194",194,"soft",1035,1856,"SOFT",1
"195",195,"the son",220,1620,"SON",1
"196","196","the sparrow",336,1854,"SPARROW",0.42
"197",197,"the spider",361,843,"SPIDER",0.96
"198",198,"to spit",1688,1440,"SPIT",0.98
"199",199,"to stand",1784,1442,"STAND",1
"200",200,"the star",5,1430,"STAR",1
"201",201,"to steal",1686,713,"STEAL",0.96
"202",202,"the stick",586,1295,"STICK",0.94
"203",203,"the stone (a piece of)",43,857,"STONE",1
"204",204,"straight",1003,1404,"STRAIGHT",0.94
"205",205,"the sun",2,1343,"SUN",1
"206",206,"the tail",267,1220,"TAIL",1
"207",207,"ten",806,1515,"TEN",0.9
"208","208","that",947,78,"THAT",0.52
"209","209","there",950,1937,"THERE",0.52
"210",210,"thick",980,1244,"THICK",0.94
"211",211,"the thigh",100,800,"THIGH",0.9
"212",212,"thin (object)",981,2307,"THIN (OF HAIR AND LEAF)",0.94
"213",213,"to think (reflect)",1726,1415,"THINK (REFLECT)",0.98
"214","214","this",942,1214,"THIS",0.53
"215",215,"thou [second person singular]",931,1215,"THOU",0.94
"216",216,"three",799,492,"THREE",0.98
"217",217,"to throw",1687,1456,"THROW",0.98
"218",218,"the thunder",8,1150,"THUNDER",0.98
"219","219","the tiger",304,846,"TIGER",0.54
"220","220","today",738,1283,"TODAY",0.53
"221","221","tomorrow",742,1329,"TOMORROW",0.54
"222",222,"the tongue",139,1205,"TONGUE",1
"223",223,"the tooth (front)",137,1380,"TOOTH",1
"224",224,"the tree",372,906,"TREE",0.96
"225","225","twenty",816,1710,"TWENTY",0.38
"226",226,"two",798,1498,"TWO",0.98
"227",227,"to vomit",1535,1278,"VOMIT",0.98
"228",228,"to walk",1815,1443,"WALK",1
"229",229,"the water",47,948,"WATER",1
"230","230","we [first person plural inclusive]",930,1131,"WE (INCLUSIVE)",0.53
"231",231,"wet",1029,1726,"WET",1
"232","232","what",954,1236,"WHAT",0.52
"233","233","the wheat",410,1077,"WHEAT",0.46
"234","234","where",955,1237,"WHERE",0.53
"235",235,"white",1006,1335,"WHITE",1
"236",236,"who",953,1235,"WHO",1
"237","237","the wife",248,1199,"WIFE",0.53
"238",238,"the wind",9,960,"WIND",1
"239",239,"the wing",298,1257,"WING",0.92
"240",240,"to wipe",1163,1454,"WIPE",0.96
"241","241","the wolf",324,522,"WOLF",0.42
"242",242,"the woman",174,962,"WOMAN",0.98
"243","243","the wood (material)",511,1803,"WOOD",0.5
"244","244","to sow (broadcast, scatter seeds)",1597,748,"SOW SEEDS",0.32
"245",245,"the year",777,1226,"YEAR",0.98
"246",246,"yellow",1008,1424,"YELLOW",0.96
"247","247","yesterday",739,1174,"YESTERDAY",0.54
"248","248","you [second person plural]",933,1213,"YOU",0.52
"249","249","young",1059,1207,"YOUNG",0.46
"250",250,"the shit",151,676,"SHIT (DEFECATE)",0.92
